,country,description,designation,points,price,province,region_1,region_2,variety,winery
55,Argentina,"Murky, stewy, soupy aromas deliver little to no freshness or fruit, while the palate is tannic and tastes bitter, mildly weedy and minty. Seems roasted and devoid of quality. Unclean and unimpressive.",Vástago de Gea,80,15,Mendoza Province,Luján de Cuyo,,Cabernet Sauvignon,Staphyle
56,Argentina,"Shows barely any color and then a hard, vapid, no-fruit bouquet. The mouthfeel is citric and the tastes range from lemon to lemon. Pithy, tart and frankly it's a barely drinkable rendition of Argentina's signature white grape.",Reserva,80,11,Mendoza Province,Mendoza,,Torrontés,Nieto Senetiner
57,US,"Porty and dull. Almost undrinkable, except for some decent berry and currant flavors.",El Matador,80,22,California,Lodi,Central Valley,Tempranillo,Ripken
58,Argentina,"Smells like corn stalks and also of oxidation. The palate is wet but shapeless, and the flavors are waxy and jumbled. It's yet another pass-it-by, underperforming Mendoza Chardonnay.",,80,14,Mendoza Province,Mendoza,,Chardonnay,Cinco Sentidos
59,Argentina,Red in color and flat in terms of bubbles and mouthfeel. It smells and tastes burnt and bitter. This is an odd conconction made from Malbec that's barely acceptable.,Serie Terra Spakling,80,14,Mendoza Province,Mendoza,,Malbec,Viniterra
60,US,"Unripe and sour, with ammonia aromas and flavors that barely veer into gooseberries.",Massa Ranch,80,25,California,Yountville,Napa,Sauvignon Blanc,Hopper Creek
61,US,Syrupy and tired. Not much going on with this raspberry-flavored Zin.,,80,20,California,Sonoma County,Sonoma,Zinfandel,Headbanger
62,Portugal,"Raw, rustic wine, its tannins hardened by excessive acidity. It just about works as a rough and ready red.",Vale de Lobos,80,12,Ribatejo,,,Portuguese Red,Quinta da Ribeirinha
63,Portugal,"A curious sauerkraut perfume leads to a hard edged wine, the wood not in balance with the fruit. It is raw and not completely clean. Two bottles tasted.",,80,,Lisboa,,,Touriga Nacional,Quinta do Pinto
64,Spain,"Strained from front to back. The nose smells pickled and funky, while the palate is boring in feel and tastes candied but also a lot like brine or caper juice. Sweet on the finish.",Sweet Chardonnay-Moscato,80,10,Spain Other,Spain,,White Blend,Torito Bravo
65,Chile,"Aromas of canned pear and peach are not fresh. This is syrupy in the mouth, with a bland mix of vanilla and melon flavors. Oxidized on the finish.",Reserva,80,12,Maule Valley,,,Chardonnay-Viognier,Oveja Negra
66,Chile,"Aromas of sweet corn and melon are not convincing. This has little in the way of mouthfeel or substance; flavors of candied fruits taste like corn and wheat, while the finish is spineless.",,80,15,Itata Valley,,,Chardonnay,Männle
67,Chile,"Wan in color, with vanilla and pear aromas that aren't too fresh, this is a syrupy, sweet, flabby Chardonnay. Soft flavors of pear and pineapple are overdone.",Reserva,80,12,Casablanca Valley,,,Chardonnay,Santa Carolina
68,Chile,"This mature PN from a hot vintage isn't showing much life. Earthy, raisiny aromas aren't fresh, while wood tannin and acid are keeping it afloat. Flavors of brown sugar and decayed berry fruits finish stale. This is on its very last legs.",20 Barrels Limited Edition,80,32,Casablanca Valley,,,Pinot Noir,Cono Sur
69,US,"This wine has some good blackberry and oak flavors. But the strong, green hit of vegetable is distracting.",Signature Selection,80,22,California,Paso Robles,Central Coast,Petite Sirah,Bianchi
70,US,"Tasted in early February, this Chardonnay had some secondary fermentation in the bottle, giving it a bubbly feeling. This major flaw may disappear in time.",Kruse Vineyards,80,36,California,Central Coast,Central Coast,Chardonnay,Jack Creek
71,US,"Nearly undrinkable for its arch-acidity that's almost still fermenting. The flavors are thin, with barely ripe blackberries and oak-like smokiness.",,80,13,California,Russian River Valley,Sonoma,Cabernet Sauvignon,Masterpiece
72,US,"Way too high in alcohol, giving it the ripe, hot, raisiny taste of a simple Port.",Reserve,80,44,California,Paso Robles,Central Coast,Zinfandel,Opolo
73,US,"A scent of sulfur marks this New Jersey wine from the get-go, but it subsides to reveal intimations of honeysuckle, lime and white apricot. On the palate, the acidity is severe and distracting, with a razor-sharp quality that seems to slice away the fruit flavors.",Cuvée Blanc Chardonnay-Pinot Gris-Sémillon-Sauvignon Blanc,80,15,New Jersey,Outer Coastal Plain,,White Blend,Heritage
74,Italy,"Made from partially fermented grape must, this sweet (slightly effervescent) ruby red wine would pair with spongecake or strawberry shortcake. The mouthfeel is watery and thin.",Rosso e Dolce,80,11,Italy Other,Italy,,Brachetto,Stella Mia
75,Argentina,"This is herbal, burnt and stalky smelling, then raw and herbal tasting, with weedy notes and a scratchy finish.",Estate Bottled,80,11,Other,Cafayate,,Cabernet Sauvignon,Quara
76,Spain,"The aromas of this wine are gummy and candied on the nose. Weird flavors of pastry, mulched earth and clay are devoid of clean fruit and finish jumbled and flat.",Unus Old Vine,80,12,Northern Spain,Calatayud,,Garnacha,Agustín Cubero
77,US,"This wine is flawed, with rustic leathery undertones that veer into Band-Aid, and an intensely sour note. Multiple bottles tried over several months.",Carneros Estate,80,30,California,Carneros,Napa-Sonoma,Pinot Noir,Peter Cellars
78,US,"This Merlot has not fully ripened, with aromas of bell pepper, green herbs and savory notes overriding any sense of variety. Flavors are faint and lighter in style, trailing on the finish.",,80,20,Washington,Horse Heaven Hills,Columbia Valley,Merlot,James Wyatt
79,Spain,"Rusty in color, with rubbery cherry and raspberry aromas, this is a sticky, candied rosé with a low freshness quotient. Candied, sugary flavors finish sweet and gooey.",Alone,80,8,Levante,Alicante,,Rosé,Bocopa
80,US,"Hard to like, with vegetal and sugared raspberry flavors.",,80,13,California,California,California Other,Zinfandel,Forbidden Zin
81,US,"This wine has a plethora of green pepper going on, and not in a particularly pleasant way.",,80,28,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Hannah Nicole Vineyards
82,US,"Barely acceptable, it's so vegetal, with a steamed asparagus edge. Saved by a hint of blackberry.",,80,17,California,Sonoma County,Sonoma,Cabernet Sauvignon,Shiloh Road
83,Argentina,"Smells gaseous and murky, like a compost pile. Rough and not well balanced in the mouth, with simple berry and burnt brown sugar flavors. Hot, heavy and barely acceptable.",,80,13,Mendoza Province,Mendoza,,Merlot,Alberti 154
84,Argentina,"While this smells floral and candied, the palate rages, courtesy of strapping acidity that creates tart plum and blueberry flavors.",,80,5,Mendoza Province,Mendoza,,Malbec,Toca Diamonte
85,US,"This blend of 45% Cabernet Sauvignon, 45% Merlot and 10% Syrah was too sweet for this taster. It's full of huge ripe fruit and a lingering aroma of burnt toast.",The Other,80,12,California,Lodi,Central Valley,Red Blend,Peirano
86,Spain,Loud citrus and berry aromas precede an overloaded palate that carries stalky plum flavors. Pickled tasting on the finish.,Tempranillo,80,9,Northern Spain,Vino de la Tierra de Castilla y León,,Rosé,Peñascal
87,Spain,"Salmon in color, this is pulpy and perfumed on the nose, with an artificial leaning. Overly foamy on the palate, this has a bitter, herbal flavor.",Vega Medien Brut Rosé,80,10,Catalonia,Cava,,Garnacha,Unión Vinícola del Este
88,US,"A barrel fermented Chardonnay that is uncharacteristically soft and fruity. Aromas of bananas and bubble gum lead to slightly sweet, uncomplicated flavors. The texture and body are light.",,80,10,California,Lodi,Central Valley,Chardonnay,Campus Oaks
89,Spain,"Sweet melon and peach aromas are candied. In the mouth, this is awkward, fizzy and cloying. The flavor profile has little positive to offer, while the finish turns bitter and grassy tasting.",234,80,17,Northern Spain,Somontano,,Chardonnay,Enate
90,Spain,"The cold, rainy conditions of 2008 must have affected this wine. Vegetal aromas, vinegar and green notes drive the nose, while the flavor profile is briny and pickled to an extreme. High acidity and green flavors draw down the finish.",Reserva,80,40,Northern Spain,Rioja,,Tempranillo Blend,Finca Valpiedra
91,Chile,"Another subpar Chardonnay from this winery. It smells like rubber bands and bacon, while the palate is heavy and tastes of hickory, sweet apple and sugar. Recent vintages of this wine have been weak.",Reserva,80,12,Colchagua Valley,,,Chardonnay,MontGras
92,Chile,"Overloaded with tomato, green bean and bell pepper on the nose. Not much changes in the mouth; it's herbal and tomatoey, with oregano and chili pepper flavors. A green, herbal wine made from four grapes, led by Merlot.",Quinteto,80,16,Casablanca Valley,,,Red Blend,Lomas del Valle
93,New Zealand,"A disappointing effort, showing a weedy, hay-like profile and fruit that is drying out on the finish. Barely acceptable.",,80,19,Awatere Valley,,,Pinot Noir,The Crossings
94,Spain,"Tan like cream soda, with a weird, faded bouquet of banana pudding and resiny oak. Soft and weakly structured except for lasting acidity, while it tastes like fermented apples and finishes on bitter walnut. A strange bird made from Sauvignon Blanc and white Tempranillo.",Peñalba López,80,22,Northern Spain,Vino de la Tierra de Castilla y León,,White Blend,Finca Torremilanos
95,Argentina,"Smells like sweet apple pie and wax. The palate is sticky and out of balance, with papaya, vanilla and mealy white fruit flavors. Not very fresh; seems to already be turning south.",,80,17,Mendoza Province,Mendoza,,Chardonnay,Medanos
96,Bulgaria,"Confected and soapy with exuberant baby powder and floral tones, this dry, medium-bodied Bulgarian Muskat Ottonel is an uneven, craggy wine with shriekingly high acidity.",,80,9,Bulgaria,,,Muskat Ottonel,Targovishte
97,Argentina,"Smells like floor polish at first. Gets better with time, but still a weak wine of juicy acids, too much oak, not enough fruit and a grating finish. Does nothing to move the dial forward in terms of Argentine Chardonnay.",,80,13,Mendoza Province,Mendoza,,Chardonnay,Budini
98,Argentina,"Smells a lot like compost and green herbs. The palate is bitter, hard and stalky, with grassy flavors and a weedy finish. Tastes burnt out, like old coffee grinds and marginal berry fruit.",Reserva,80,15,Mendoza Province,Mendoza,,Malbec,Fioravante
99,Argentina,"Hot and horsey, and it remains forced and clumsy in the mouth. Tastes more sour than fruity, with a heavy, short, chunky finish. Drinkable only in an extreme situation.",Reserve,80,12,Mendoza Province,Mendoza,,Pinot Noir,Cavas de Chacras
100,Spain,"Strange yeasty unfocused aromas are unclean. This is flat and spineless, with yeasty papaya flavors. A diluted, leesy finish confirms that it's not ready for prime time.",,80,8,Northern Spain,Cariñena,,Chardonnay,Hawthorne Ridge
101,Argentina,"Cidery, citric and jumbled on the nose and palate, this is barely cutting it. Briny, limited flavors of mealy citrus fruits finish flat.",1300,80,16,Mendoza Province,Valle de Uco,,Chardonnay,Andeluna
102,Spain,"This is a heartbeat or two from being DOA. Tan in color with an oily heavy mouthfeel, this tastes oxidized and shows almost no pulse.",Halcon,80,13,Northern Spain,Vino de la Tierra de Castilla y León,,Verdejo,Vega de Tera
103,Argentina,"Herbaceous red-fruit and forced fiery oak aromas give this a spicy, almost Pinot Noir-like nose. Raw as nails on the palate, this tastes like herbal green strawberry and chemicals. Weedy on the finish.",,80,10,Mendoza Province,Mendoza,,Malbec,Mountain Door
104,Argentina,"Murky, stewy, soupy aromas deliver little to no freshness or fruit, while the palate is tannic and tastes bitter, mildly weedy and minty. Seems roasted and devoid of quality. Unclean and unimpressive.",Vástago de Gea,80,15,Mendoza Province,Luján de Cuyo,,Cabernet Sauvignon,Staphyle
105,Argentina,"Shows barely any color and then a hard, vapid, no-fruit bouquet. The mouthfeel is citric and the tastes range from lemon to lemon. Pithy, tart and frankly it's a barely drinkable rendition of Argentina's signature white grape.",Reserva,80,11,Mendoza Province,Mendoza,,Torrontés,Nieto Senetiner
106,US,"Porty and dull. Almost undrinkable, except for some decent berry and currant flavors.",El Matador,80,22,California,Lodi,Central Valley,Tempranillo,Ripken
107,Argentina,"Smells like corn stalks and also of oxidation. The palate is wet but shapeless, and the flavors are waxy and jumbled. It's yet another pass-it-by, underperforming Mendoza Chardonnay.",,80,14,Mendoza Province,Mendoza,,Chardonnay,Cinco Sentidos
108,Argentina,Red in color and flat in terms of bubbles and mouthfeel. It smells and tastes burnt and bitter. This is an odd conconction made from Malbec that's barely acceptable.,Serie Terra Spakling,80,14,Mendoza Province,Mendoza,,Malbec,Viniterra
109,Italy,"This bright, savory wine delivers aromas and flavors of juicy wild cherry, black raspberry, violet, white pepper and mocha. Polished tannins provide the framework. Enjoy through 2020.",Riserva,90,29,Tuscany,Chianti Classico,,Red Blend,Castello di Monterinaldi
110,US,"Heitz has made this stellar rosé from the rare Grignolino grape since 1961. Ruby grapefruit-red, it's sultry with strawberry, watermelon, orange zest and salty spice flavor, highlighted with vibrant floral aromas.",Grignolino,95,24,California,Napa Valley,Napa,Rosé,Heitz
111,Spain,"Alluring, complex and powerful aromas of grilled meat, berries, tea, smoke, vanilla and spice cover every base. An intense palate is concentrated but still elegant. Blackberry, molasses and mocha flavors finish with chocolaty oak notes, fine tannins and overall cohesion. Drink this special Rioja from 2020 through 2035.",Prado Enea Gran Reserva,95,79,Northern Spain,Rioja,,Tempranillo Blend,Muga
112,Spain,"Tarry blackberry and cheesy oak aromas are appropriate for a wine of this size and magnitude. In the mouth, this Tinta de Toro is expansive and grabby, with bullish tannins. Slightly salty earthy accents come with core blackberry flavors and notes of baking spices and chocolate, while on the finish this is long, chocolaty, delicious and not too hard or tannic. Drink through 2023.",Termanthia,95,220,Northern Spain,Toro,,Tinta de Toro,Numanthia
113,US,"The apogee of this ambitious winery's white wine efforts, this bottling of just two barrels of Clone 5 shows focused marzipan, marcona almond and white peach notes on the nose. The palate sizzles with saltiness and a lemony acidity that cuts through its brown butter richness with finesse. The finish is luxurious and long.",Giallo Solare,95,60,California,Edna Valley,Central Coast,Chardonnay,Center of Effort
